,_id,Text_without_authors
0,6043e41b310924997d8b3887,"Significance of speech production error on cross-linguistic processing in Sepedi-English individual with bilingual aphasia : a case series analysis background : bilingual aphasia form a significant part of speech-language pathologists’ (slp) caseload, globally, and specifically in south africa. few tool supporting clinical decision-making are available due to limited understanding of typical and disordered cross-linguistic processing (how the language interact). speech error may provide insight about “hidden” bilingual mechanisms. objective : to determine what speech error can impart about cross-linguistic processing, a well as, associated language and impairment variable in sepedi-english individual with aphasia. method : the case series included six participants, purposively selected from three rehabilitation site in south africa. detailed language and clinical profile were obtained. participant performed a confrontation naming task in their most dominant (mdl) and le dominant language (ldl). response were audio recorded, transcribed, and analyzed for overall accuracy and error type in mdl and ldl; verified by a sepedi-speaking linguist and a qualified slp. result : (1) no statistically significant difference in mdl-ldl naming accuracy were found, supporting recent literature of simultaneous inter-activation of both language and shared word retrieval mechanisms. all type of speech error occurred, and semantic error were produced most frequently and consistently in each participant’s mdl and ldl. (2) language proficiency, language recovery patterns, and aphasia type (broca’s and anomic) and severity (mild and/or moderate) appeared to be more strongly linked to cross-linguistic processing than sepedi-english linguistic difference and age of acquisition of both languages. conclusion : participant with bilingual aphasia may use typical cross-linguistic and word retrieval mechanisms, concurring with current theory of bilingualism. finding are preliminary, warranting investigation of other language tasks, modalities, pairs, and related variables."
1,6043e41b310924997d8b3888,"African language dictionary for child - a neglected genre  children dictionary are instrumental in establishing a dictionary culture and are the gateway to sustained and informed dictionary use. it is therefore surprising that very little attention is paid to these dictionary in scholarly research. in this article we reflect on the design of two series of dictionary and one free-standing dictionary, all presumably aimed at first-time dictionary users, specifically looking at how selected design element are aligned with the lexicographic need of the target users. we argue that the conceptualization of child dictionary for african-language-speaking child should be a bottom-up process, and that an afrocentric approach, taking the target user frame of reference a the point of departure, is preferable to a eurocentric approach, which often lead to a mismatch between conceptual relationship and linguistic form and function in african language dictionaries. kinderwoordeboeke speel  belangrike rol in die vestiging van  woordeboekkultuur en gee toegangtot volgehoue en kundige woordeboekgebruik. dis is daarom vreemd dat daar min aandag gegeeword aan hierdie tipe woordeboeke in akademiese navorsing. in hierdie artikel besin ons oor dieontwerp van twee woordeboekreekse en  vrystaande woordeboek, wat almal oënskynlik gemik isop beginnergebruikers van woordeboeke. ons kyk spesifiek na die belyning van die ontwerpaspekte van die woordeboeke met die gebruikers se leksikografiese behoeftes. ons duo aan dat diekonseptualisering van kinderwoordeboeke vir sprekers van afrikatale op grondvlak behoort tebegin, en dat  afrosentriese benadering verkieslik is bo  eurosentriese benadering. laasgenoemde benadering lei dikwels tot  mispassing tussen konseptuele verhoudings, en linguistiesevorm en funksie in afrikataalwoordeboeke. "
2,6043e41b310924997d8b3889,"A corpus-driven study of the expression of necessity in Luganda (Bantu, JE15) this article report on the analysis of three major marker of necessity in luganda, i.e. the modal auxiliary -téekw- and -lina and the verbal prefix -andi-. on the basis a 4-million-word corpus it is argued that, overall, the auxiliary -téekw- is more established a a necessity marker, a it is involved in the expression of all necessity subcategories except participant-inherent dynamic necessity. the auxiliary -lina is le semantically diversified, expressing only participant-imposed, situational and deontic necessity, while the verbal prefix -andi- express only deontic necessity. a comparison of corpus data with data from older literature on luganda further show that the objective category of participant-inherent dynamic necessity, which is not associated with any of the three marker described, is perhaps expressed by less-grammaticalised forms. these form are also, together with other grammaticalised form that have increasingly become rare, assumed to be part of the device that could have been responsible for expressing necessity in earlier stage of the language, given that the three marker described in this research have only begun to meaningfully express necessity since the second half of the 20th century."
3,6043e41b310924997d8b388a,"Determining a Zulu core vocabulary for child who use augmentative and alternative communication vocabulary selection is an important aspect to consider when designing augmentative and alternative communication (aac) system for child who have not yet developed conventional literacy skills. aac team member have used core vocabulary list (representing word most commonly and frequently used by speaker of a natural language) a a resource to assist in this process. to date, there are no core vocabulary list for zulu. therefore, the aim of this study wa to identify the vocabulary most frequently and commonly used by zulu-speaking preschool children, in order to inform vocabulary selection for peer who use aac. communication sample from 6 zulu-speaking participant without disability were collected during regular preschool activities. analysis were conducted both by orthographic word and by morphological analysis of formatives. due to the linguistic and orthographic structure of zulu, an analysis by formative wa found to be more useful to determine a core vocabulary. the number of different formative used, frequency of use, and commonality of use among the participant were identified. a total of 213 core formative were identified; core formative related to language structure were used more frequently than those that related to lexical content. the characteristic of this zulu core vocabulary were consistent with those of core vocabulary established in other languages. implication for the design of zulu aac system are discussed."
4,6043e41b310924997d8b388b,"The relationship between dictionary look-up frequency and corpus frequency revisited : a log-file analysis of a decade of user interaction with a Swahili-English dictionary in an earlier publication it wa claimed that there is no useful relationship between swahili-english dictionary look-up frequency and the occurrence frequency for the same wordforms in swahili-english corpora, at least not beyond the top few thousand wordforms. this result wa challenged using data for german by a different team of researcher using an improved methodology. in the present article the original swahili-english data is revisited, using ten years’ worth of it rather than just two, and using the improved methodology. we conclude that there is indeed a positive relationship. in addition, we show that online dictionary look-up behaviour is remarkably similar across languages, even when, a in our case, one is dealing with language from very dissimilar language families. furthermore, online dictionary turn out to have minimum look-up success rates, below which they simply cannot go. these minimum are language-sensitive and vary depending on the regularity of the searched-for entries, but are otherwise constant no matter the size of randomly sampled dictionaries. corpus-informed sampling always improves on any random method. lastly, from the point of view of the graphical user interface, we argue that the average user of an online bilingual dictionary is better served with a single search box, rather than separate search box for each dictionary side."
5,6043e41b310924997d8b388c,"Resurrecting the “black archives”: Revisiting benedict wallet vilakazi with a focus on the utility and meaning of African language and literature in higher education although viewed (and dismissed) by many a primarily a tool for communication, language (and literature) cannot be understood only in relation to what it communicates. a study of how it is shaped uncovers the social force that provide it broad and complex template in the act of reading and writing. this article focus on the utility and meaning of african language and literature in higher education, with benedict wallet vilakazi’s (1906–1947) poetry at the centre. it argues how, by resurrecting “black archives”, in this article epitomised by revisiting the work of one iconic writer and scholar, vilakazi, we could give further impetus to the prospect of intellectual effort in african languages. in this context, the article upholds the value and meaning of this scholar while offering perspective on the saliency of his work for inter alia the meaning and location of african language and literature with regard to epistemic diversity, the “transformation” of curricula, tradition versus modernity, gender, the meaning of identity, and the broader humanist project. in essence, therefore, the article suggests that in an academic context, african language and literature require a serious engagement with the “implied reader”, “the native subject” and consequently necessitates greater troubling, unsettling in the way we teach, the way we write, and the way we read. it suggests that act of rereading (albeit preliminary) are an important intervention in the project of the intellectualisation of our discipline."
6,6043e41b310924997d8b388d,"An overview of digital lexicography and direction for it future : an interview with Gilles-Maurice de Schryver  in this contribution rove chishman and bruna da silva present questionsto the president of the european association for lexicography, gilles-maurice deschryver. in answering, g-m de schryver call a spade a spade: no, there is no theoryof lexicography, but yes, there is a future for lexicographers. for that future to be bright,lexicographers will have to join hand with the big data companies, and accept that theirinvaluable input will be all but invisible to the users. artificial intelligence componentswill have to be used in earnest, so that ‘searches’ (not ‘look-ups’!) will instantly lead tocontext-sensitive answers. browsing lexical data only start from these answer and proceedsfrom there in two- (and why not three-) dimensional multimedia spaces. to achievethis, g-m de schryver point to the most promising research idea at present, a well asthe top team involved in digital dictionary user research. nesta contribuição, rove chishman e bruna da silva apresentam perguntasao presidente da associação europeia de lexicografia, gilles-maurice deschryver. ao responder, g-m de schryver vai direto ao ponto: não, não há teoria dalexicografia, mas, sim, há um futuro para o lexicógrafos. para que esse futuro sejabrilhante, o lexicógrafos terão de tornar-se aliados da empresas que lidam comgrandes quantidades de dado e aceitar que a contribuição inestimável que oferecemserá praticamente invisível para o usuários. o componentes da inteligência artificialterão de ser usados com seriedade para que a ‘buscas’ (como em ferramentasde busca; não a ‘consultas’, como em dicionários impressos) instantaneamente conduzamo usuário a respostas sensíveis ao contexto. a navegação por dado lexicaisapenas começa com essas respostas e prossegue a partir daí por e para espaços multimídiabi- (e por que não tri-?) dimensionais. para que isso seja alcançado, g-m deschryver aponta a ideias de pesquisa mais promissoras atualmente, bem como asprincipais equipes envolvidas na pesquisa sobre usuários de dicionários digitais. "
7,6043e41b310924997d8b388e,"Corpus-driven Bantu lexicography Part 3 : Mapping meaning onto use in Lusoga  this article is the third instalment in a trilogy of study that deal with corpus-driven bantu lexicography a applied to lusoga. having dealt with corpus-building in part 1, and macro-structural aspect in part 2, we now focus on the microstructure of a dictionary and in particular on the concept of mapping meaning onto use. the starting point is patrick hank book chapter by the same title, which we transpose to a study of the high-frequent motion verb -v- in lusoga. our detailed analysis is a much practical a it is methodological. olupapula luno n'olwokusatu mu nteeko y'okulaga omusomo gw'omutengeso gw'eitu ogukozesebwa mu namawanika w'ennimi dha bantu ogulaga omulimu ogw'akolebwa ku lusoga. oluvainhuma lw'okwandhula engeli eitu ly'olusoga mu kitundu 1 n'omuteeko gw'omutindiigo ogusinziilwaku okuzimba olukala lwa namungi w'ebigambowazo mu kitundu 2, buti eisila liize ku kulaga ngeli amakulu g'ebigambo ye gakwanaganizibwa n'enkozesa. omusingi gw'eisomo elilagibwa mu kitundu kino gw'ateebwawo patrick hanks. ensonga enkulu dhe yataaku eisila dhilondoolebwa okusinziila ku kigelo kya namungi w'ennhingizo entabaazi (o)ku.v.a. olupapula luno lugelaagelania engeli ennhingizo eno bwe yaingizibwa mu eiwanika ly'olusoga elitaasinziililwa ku itu lya bigambo n'engeli gye yandibaile esengekebwa singa eitu n'ebigelo by'emiwendo egilagibwamu byali bikozeseibwa. eby'asoboka n'ebitaasoboka bigelaagelanhizibwa n'ebigendelelwa by'omusingi gw'eisomo ly'eitu lya namawanika mu mpandiika y'amawanika. "
8,6043e41b310924997d8b388f,"Corpus-driven Bantu lexicography Part 2 : Lemmatisation and ruler for Lusoga this article is the second in a trilogy that deal with corpus-driven bantu lexicogra-phy, which is illustrated for lusoga. the focus here is on the macrostructure and in particular on the building of a lemmatised frequency list directly within a dictionary-writing system. the pro-gramming code for the part of the lemmatisation that may be automated is included a addenda. a second focus is on the embedded part-of-speech and alphabetical rulers, for which it is shown how these may be used to plan the actual compilation of the dictionary entries."
9,6043e41b310924997d8b3890,"Corpus-driven Bantu lexicography Part 1 : Organic corpus building for Lusoga  this article is the first in a trilogy that deal with corpus-driven bantu lexicography, which is illustrated for lusoga. the focus here is on the building of a so-called 'organic corpus' from scratch, while the next two instalment will deal with the use of that corpus on the macro-structural and microstructural levels, respectively. not many detailed description of corpus-building effort exist for bantu languages, so each and every step is discussed in detail, paying particular attention to the parameter that have to be taken into account, while not losing sight of the need to log the metadata either. olupapula luno n'olusooka ku isatu edhinaayogela ku musomo gw'omutengeso gw'eitu ogukozesebwa mu namawanika w'ennimi dha bantu nga gulaga omulimu ogw'akolebwa ku lusoga. mu lupapula luno, eisila lili ku nzimba ya itu namukyukilo okuva ku ntandiiko. ebitundu ebinaaba mu lupapula olw'okubili n'olw'okusatu biidha kugema ku nkozesa ya itu lino ku isa ly'omutindiigo ogw'ebizimbibwa mu mutegeko n'eisa elilaga eitu lino mu mwoleko ogw'azimbibwa mu mutindiigo n'engeli omusingi ogulimu bwe gulagibwa mu iwanika. mu nnimi dha bantu, emilimu egilaga omusingi guno tigitela kuwandiikibwaku mu butongole okusobola okumanhisa abo abayinza okuba nga bagasibwa. kale buli kitundu ekiteesebwaku mu nnambika eli mu mpapula eisatu dhino kitoolayo buli kanhomelo ka bukodyo n'emitendela egy'agobelebwa ela gy'akozesebwa mu kusenvula omulimu gw'okuzimba omutimbo gw'ekyebungo ky'olulimi olusoga gwonagwona. "
